Name	Carmax Lot	
Sunshine	Super Duper Engine	Patch work quilt
Back to nature	Fuel Efficient Engine	Patch work quilt
White	Normal Engine	Adventure Time
Black	Super Duper Engine	Show off
Black	Fuel Efficient Engine	Average Joe
Camo	Normal Engine	Show off
Orange is the new Black	Normal Engine	Average Joe
Back to nature	Normal Engine	Average Joe
Camo	Fuel Efficient Engine	Average Joe
Orange is the new Black	Super Duper Engine	Average Joe
Back to nature	Super Duper Engine	Adventure Time
Sunshine	Super Duper Engine	Average Joe
White	Normal Engine	Show off
Sunshine	Cheap Engine	Adventure Time
Camo	Normal Engine	Show off
Orange is the new Black	Fuel Efficient Engine	Adrenaline Rush
Camo	Fuel Efficient Engine	Average Joe
Orange is the new Black	Fuel Efficient Engine	Patch work quilt
Orange is the new Black	Powerful Engine	Show off
Sunshine	Powerful Engine	Average Joe
Back to nature	Powerful Engine	Adventure Time
Back to nature	Fuel Efficient Engine	Patch work quilt
Sunshine	Fuel Efficient Engine	Adventure Time
Camo	Normal Engine	Patch work quilt
White	Cheap Engine	Adrenaline Rush
White	Fuel Efficient Engine	Average Joe
Back to nature	Super Duper Engine	Patch work quilt
Camo	Powerful Engine	Patch work quilt
Name	Cooool place! Buy here!	
Camo	Powerful Engine	Adrenaline Rush
Sunshine	Fuel Efficient Engine	Adventure Time
Black	Fuel Efficient Engine	Average Joe
Orange is the new Black	Cheap Engine	Average Joe
White	Fuel Efficient Engine	Adventure Time
Back to nature	Powerful Engine	Adventure Time
White	Fuel Efficient Engine	Patch work quilt
Sunshine	Powerful Engine	Average Joe
Orange is the new Black	Normal Engine	Adrenaline Rush
Sunshine	Super Duper Engine	Patch work quilt
Back to nature	Normal Engine	Show off
Back to nature	Super Duper Engine	Patch work quilt
White	Cheap Engine	Adrenaline Rush
Back to nature	Cheap Engine	Patch work quilt
White	Cheap Engine	Average Joe
Black	Cheap Engine	Average Joe
Back to nature	Normal Engine	Patch work quilt
Back to nature	Fuel Efficient Engine	Adrenaline Rush
White	Fuel Efficient Engine	Adrenaline Rush
Back to nature	Fuel Efficient Engine	Adventure Time
Back to nature	Normal Engine	Patch work quilt
Name	Nick's Lot	
Sunshine	Fuel Efficient Engine	Show off
Orange is the new Black	Powerful Engine	Patch work quilt
Orange is the new Black	Fuel Efficient Engine	Show off
White	Normal Engine	Show off
Orange is the new Black	Normal Engine	Adrenaline Rush
Sunshine	Powerful Engine	Show off
Sunshine	Fuel Efficient Engine	Patch work quilt
Back to nature	Powerful Engine	Patch work quilt
Back to nature	Normal Engine	Adventure Time
Orange is the new Black	Normal Engine	Patch work quilt
Camo	Normal Engine	Average Joe
Camo	Fuel Efficient Engine	Patch work quilt
White	Powerful Engine	Average Joe
Camo	Cheap Engine	Average Joe
Sunshine	Super Duper Engine	Show off
Sunshine	Cheap Engine	Show off
Back to nature	Super Duper Engine	Adrenaline Rush
Sunshine	Normal Engine	Average Joe
Black	Super Duper Engine	Adrenaline Rush
Sunshine	Fuel Efficient Engine	Show off
Back to nature	Fuel Efficient Engine	Adrenaline Rush
Sunshine	Super Duper Engine	Adrenaline Rush
Black	Normal Engine	Adrenaline Rush
Back to nature	Powerful Engine	Show off
Camo	Fuel Efficient Engine	Adventure Time
Back to nature	Super Duper Engine	Adrenaline Rush
Back to nature	Super Duper Engine	Adrenaline Rush
Sunshine	Super Duper Engine	Show off
Camo	Cheap Engine	Adventure Time
Sunshine	Cheap Engine	Adventure Time
Back to nature	Powerful Engine	Adventure Time
Sunshine	Super Duper Engine	Adventure Time
Black	Powerful Engine	Average Joe
Sunshine	Powerful Engine	Show off
Black	Cheap Engine	Show off
Black	Cheap Engine	Adrenaline Rush
Sunshine	Cheap Engine	Patch work quilt
Back to nature	Cheap Engine	Adventure Time
Back to nature	Normal Engine	Show off
Black	Powerful Engine	Patch work quilt
White	Powerful Engine	Average Joe
Sunshine	Normal Engine	Average Joe
Back to nature	Super Duper Engine	Average Joe
Sunshine	Fuel Efficient Engine	Average Joe
Camo	Fuel Efficient Engine	Adrenaline Rush
Camo	Cheap Engine	Show off
Orange is the new Black	Super Duper Engine	Show off
Camo	Normal Engine	Show off
Back to nature	Powerful Engine	Average Joe
Camo	Cheap Engine	Adventure Time
Back to nature	Normal Engine	Adventure Time
Sunshine	Normal Engine	Adventure Time
Back to nature	Powerful Engine	Average Joe
Orange is the new Black	Super Duper Engine	Patch work quilt
Name	MEGA lot!	
White	Super Duper Engine	Patch work quilt
Sunshine	Cheap Engine	Adventure Time
Black	Super Duper Engine	Adrenaline Rush
Sunshine	Super Duper Engine	Adventure Time
Black	Normal Engine	Adventure Time
White	Normal Engine	Show off
Orange is the new Black	Normal Engine	Show off
Sunshine	Cheap Engine	Adventure Time
Black	Cheap Engine	Adventure Time
Orange is the new Black	Super Duper Engine	Patch work quilt
Orange is the new Black	Cheap Engine	Average Joe
Sunshine	Super Duper Engine	Average Joe
Sunshine	Normal Engine	Average Joe
Orange is the new Black	Powerful Engine	Adventure Time
Back to nature	Fuel Efficient Engine	Show off
Sunshine	Cheap Engine	Adrenaline Rush
White	Fuel Efficient Engine	Patch work quilt
White	Super Duper Engine	Average Joe
Back to nature	Normal Engine	Adrenaline Rush
Orange is the new Black	Powerful Engine	Adrenaline Rush
Camo	Super Duper Engine	Patch work quilt
Black	Super Duper Engine	Adrenaline Rush
Back to nature	Powerful Engine	Adrenaline Rush
White	Powerful Engine	Adrenaline Rush
Camo	Powerful Engine	Show off
Name	Another great lot! Not many choices though :(	
Camo	Cheap Engine	Adventure Time
Orange is the new Black	Fuel Efficient Engine	Show off
Back to nature	Fuel Efficient Engine	Show off
Back to nature	Cheap Engine	Adrenaline Rush
Orange is the new Black	Powerful Engine	Patch work quilt
Sunshine	Cheap Engine	Average Joe
Back to nature	Normal Engine	Patch work quilt
Sunshine	Normal Engine	Show off
Camo	Super Duper Engine	Show off
Back to nature	Normal Engine	Show off
Back to nature	Cheap Engine	Adrenaline Rush
Camo	Normal Engine	Adrenaline Rush
Back to nature	Cheap Engine	Adventure Time
White	Super Duper Engine	Patch work quilt
Black	Powerful Engine	Adventure Time
Sunshine	Powerful Engine	Adventure Time
Black	Fuel Efficient Engine	Patch work quilt
Sunshine	Normal Engine	Adventure Time
Black	Powerful Engine	Adrenaline Rush
Black	Super Duper Engine	Average Joe
Back to nature	Powerful Engine	Adrenaline Rush
Back to nature	Cheap Engine	Show off
Back to nature	Cheap Engine	Adrenaline Rush
Black	Normal Engine	Show off
Orange is the new Black	Cheap Engine	Patch work quilt
Sunshine	Fuel Efficient Engine	Show off
Back to nature	Powerful Engine	Adrenaline Rush
Back to nature	Cheap Engine	Adventure Time
Sunshine	Powerful Engine	Adventure Time
Name	Regular cars and special cars for everyone!	
Black	Normal Engine	Average Joe
Black	Fuel Efficient Engine	Show off
Camo	Fuel Efficient Engine	Show off
White	Super Duper Engine	Adrenaline Rush
Black	Normal Engine	Patch work quilt
Sunshine	Fuel Efficient Engine	Adrenaline Rush
Orange is the new Black	Cheap Engine	Show off
Sunshine	Cheap Engine	Adventure Time
Black	Super Duper Engine	Adventure Time
Sunshine	Normal Engine	Adventure Time
White	Fuel Efficient Engine	Patch work quilt
Sunshine	Powerful Engine	Average Joe
Back to nature	Cheap Engine	Show off
Back to nature	Powerful Engine	Adrenaline Rush
Sunshine	Cheap Engine	Average Joe
Camo	Super Duper Engine	Average Joe
Sunshine	Fuel Efficient Engine	Patch work quilt
Camo	Cheap Engine	Average Joe
Sunshine	Super Duper Engine	Adrenaline Rush
Sunshine	Super Duper Engine	Average Joe
Black	Powerful Engine	Patch work quilt
Back to nature	Fuel Efficient Engine	Adventure Time
Name	Mom and Pops used car sale! Only several left!	
Back to nature	Super Duper Engine	Adventure Time
Sunshine	Normal Engine	Patch work quilt
Sunshine	Fuel Efficient Engine	Patch work quilt
Back to nature	Cheap Engine	Adrenaline Rush
Sunshine	Powerful Engine	Adrenaline Rush
Back to nature	Super Duper Engine	Average Joe